INFO:absl:epoch: 22, train_loss: 0.5327, train_accuracy: 81.52, test_loss: 0.8812, test_accuracy: 71.66
INFO:absl:epoch: 23, train_loss: 0.5162, train_accuracy: 82.05, test_loss: 0.8506, test_accuracy: 72.40
INFO:absl:epoch: 24, train_loss: 0.5001, train_accuracy: 82.69, test_loss: 0.8622, test_accuracy: 72.78
INFO:absl:epoch: 25, train_loss: 0.4871, train_accuracy: 83.03, test_loss: 0.9063, test_accuracy: 71.60
INFO:absl:epoch: 26, train_loss: 0.4765, train_accuracy: 83.34, test_loss: 0.8845, test_accuracy: 72.23
INFO:absl:epoch: 27, train_loss: 0.4586, train_accuracy: 83.90, test_loss: 0.9241, test_accuracy: 71.92
INFO:absl:epoch: 28, train_loss: 0.4466, train_accuracy: 84.36, test_loss: 0.9375, test_accuracy: 71.83
INFO:absl:epoch: 29, train_loss: 0.4335, train_accuracy: 84.84, test_loss: 0.9218, test_accuracy: 71.44
INFO:absl:epoch: 30, train_loss: 0.4220, train_accuracy: 85.34, test_loss: 0.9251, test_accuracy: 72.39
INFO:absl:epoch: 31, train_loss: 0.4097, train_accuracy: 85.71, test_loss: 1.0237, test_accuracy: 70.24
INFO:absl:epoch: 32, train_loss: 0.3963, train_accuracy: 85.86, test_loss: 0.9603, test_accuracy: 71.99
INFO:absl:epoch: 33, train_loss: 0.3861, train_accuracy: 86.37, test_loss: 0.9906, test_accuracy: 71.43
INFO:absl:epoch: 34, train_loss: 0.3766, train_accuracy: 86.72, test_loss: 0.9895, test_accuracy: 71.58
INFO:absl:epoch: 35, train_loss: 0.3619, train_accuracy: 87.33, test_loss: 1.0202, test_accuracy: 71.16
INFO:absl:epoch: 36, train_loss: 0.3549, train_accuracy: 87.27, test_loss: 1.0468, test_accuracy: 71.56
INFO:absl:epoch: 37, train_loss: 0.3405, train_accuracy: 88.02, test_loss: 1.0408, test_accuracy: 71.56
INFO:absl:epoch: 38, train_loss: 0.3333, train_accuracy: 88.22, test_loss: 1.0890, test_accuracy: 71.47
INFO:absl:epoch: 39, train_loss: 0.3235, train_accuracy: 88.52, test_loss: 1.1156, test_accuracy: 70.68
INFO:absl:epoch: 40, train_loss: 0.3151, train_accuracy: 88.85, test_loss: 1.1090, test_accuracy: 71.43
INFO:absl:epoch: 41, train_loss: 0.3055, train_accuracy: 89.14, test_loss: 1.1542, test_accuracy: 71.17
